day_of_week,cust_id,demand_kg,service_time,x_coor,y_coor,window_start,window_end,service_start,service_end,distance_moved
1,C330,1.6,4.2,20.0,30.0,705.0,1131.0,823.31,827.51,211.7701
1,C005,1.8,2.0,21.0,32.5,675.0,1055.0,830.74,832.74,214.4627
1,C008,1.0,4.0,19.0,34.0,675.0,1033.0,835.74,839.74,216.9627
1,C110,2.3,2.0,17.5,33.0,705.0,1121.0,841.9,843.9,218.7655
1,C390,2.3,0.6,15.5,33.5,660.0,1101.0,846.37,846.97,220.827
1,C013,2.8,6.0,11.0,37.5,705.0,1144.0,854.2,860.2,226.8478
1,C015,1.5,8.0,10.0,40.0,555.0,934.0,863.43,871.43,229.5404
1,C504,1.7,8.0,10.0,40.0,630.0,974.0,871.43,879.43,229.5404
1,C017,2.4,4.0,9.0,37.5,705.0,1029.0,882.66,886.66,232.233
1,C506,4.3,4.0,9.0,37.5,795.0,1049.0,886.66,890.66,232.233
1,C236,2.0,1.0,1.0,30.0,690.0,1224.0,903.82,904.82,243.1988
1,C246,2.0,0.2,1.0,24.0,870.0,1151.0,912.02,912.22,249.1988
1,C547,4.3,2.0,1.0,22.5,915.0,1132.0,915.0,917.0,250.6988
1,C205,4.7,5.2,7.5,15.0,690.0,1273.0,928.91,934.11,260.6235
1,C305,1.4,5.2,7.5,15.0,765.0,1040.0,934.11,939.31,260.6235
1,C122,2.5,4.0,14.0,26.0,885.0,1342.0,954.64,958.64,273.4005
1,C363,1.6,2.0,13.5,34.5,900.0,1094.0,968.86,970.86,281.9152
1,C002,2.2,6.0,22.5,35.0,945.0,1405.0,981.68,987.68,290.929
1,C102,2.1,6.0,22.5,35.0,675.0,1148.0,987.68,993.68,290.929
1,C175,2.3,4.0,22.5,32.5,810.0,1114.0,996.68,1000.68,293.429
1,C591,3.0,2.6,24.5,21.0,810.0,1165.0,1014.68,1017.28,305.1017
1,C276,2.6,2.6,24.5,21.0,810.0,1057.0,1017.28,1019.88,305.1017
1,C376,3.6,2.6,24.5,21.0,720.0,1048.0,1019.88,1022.48,305.1017
1,C456,1.7,3.8,25.0,17.5,855.0,1333.0,1026.73,1030.53,308.6372
1,C162,2.6,4.0,25.0,17.5,870.0,1163.0,1030.53,1034.53,308.6372
1,C168,2.6,2.0,21.0,15.0,1005.0,1439.0,1040.19,1042.19,313.3542
1,C353,3.4,2.8,18.5,15.5,645.0,1154.0,1045.25,1048.05,315.9037
1,C042,0.3,4.0,16.5,16.0,1035.0,1423.0,1050.52,1054.52,317.9652
1,C321,2.5,2.2,22.5,10.0,945.0,1322.0,1064.7,1066.9,326.4505
1,C476,0.2,6.2,30.0,6.0,720.0,1114.0,1077.1,1083.3,334.9505
1,C256,1.6,1.2,26.5,6.0,705.0,1181.0,1087.5,1088.7,338.4505
1,C519,0.7,8.0,21.0,5.0,720.0,1171.0,1095.41,1103.41,344.0407
1,C054,1.0,8.0,21.0,5.0,855.0,1175.0,1103.41,1111.41,344.0407
1,C341,2.1,1.0,21.0,3.5,735.0,1170.0,1113.21,1114.21,345.5407
1,C058,2.4,6.0,19.0,2.5,825.0,1230.0,1116.89,1122.89,347.7768
1,C525,3.4,4.0,17.5,2.5,810.0,1197.0,1124.69,1128.69,349.2768
1,C524,2.7,2.0,19.0,7.5,1110.0,1438.0,1134.96,1136.96,354.4969
1,C520,3.2,2.0,21.0,7.5,990.0,1439.0,1139.36,1141.36,356.4969
1,C313,2.1,4.6,15.0,12.5,900.0,1230.0,1150.73,1155.33,364.3072
1,C337,1.7,1.6,10.0,10.0,855.0,1306.0,1162.04,1163.64,369.8973
1,C242,3.3,1.0,12.0,6.0,945.0,1330.0,1169.0,1170.0,374.3695
1,C486,1.8,5.6,10.5,12.0,1110.0,1408.0,1177.43,1183.03,380.5541
1,C587,2.0,2.6,6.0,12.0,840.0,1267.0,1188.43,1191.03,385.0541
1,C296,2.1,2.2,11.0,13.5,945.0,1354.0,1197.29,1199.49,390.2743
1,C045,1.6,2.0,15.0,15.0,930.0,1223.0,1204.62,1206.62,394.5463
1,C557,1.8,4.6,15.0,12.5,840.0,1306.0,1209.62,1214.22,397.0463
1,C140,2.6,2.0,18.0,9.0,945.0,1417.0,1219.75,1221.75,401.6561
1,C056,3.3,6.0,20.0,2.5,1230.0,1439.0,1230.0,1236.0,408.4568
1,C169,1.7,2.0,22.5,17.5,1065.0,1388.0,1254.25,1256.25,423.6637
1,C193,4.3,8.0,21.0,29.0,1215.0,1405.0,1270.17,1278.17,435.2611
1,C101,3.0,2.0,26.0,37.5,1170.0,1396.0,1290.0,1292.0,445.1227
1,C455,0.8,3.2,15.0,30.0,990.0,1436.0,1307.98,1311.18,458.4362
1,C370,3.8,1.0,18.5,28.0,1005.0,1397.0,1316.01,1317.01,462.4673
1,DEPOT_RETURN,0.0,0.0,20.0,25.0,,,1321.04,1321.04,465.8214
2,DEPOT,0.0,0.0,20.0,25.0,,,0.0,0.0,0.0
2,C516,3.9,4.0,0.0,20.0,480.0,758.0,480.0,484.0,20.6155
2,C025,1.2,8.0,12.5,26.0,495.0,647.0,500.64,508.64,34.481
2,C022,3.2,4.0,14.0,26.0,480.0,738.0,510.44,514.44,35.981
2,C469,2.6,5.4,15.5,26.0,510.0,660.0,516.24,521.64,37.481
2,C089,3.0,2.0,31.5,29.0,480.0,716.0,541.17,543.17,53.7598
2,C371,0.8,3.0,28.5,34.0,495.0,695.0,550.17,553.17,59.5907
2,C544,3.7,2.0,27.5,41.0,465.0,643.0,561.66,563.66,66.6618
2,C112,2.6,4.0,12.5,42.5,525.0,704.0,581.75,585.75,81.7366
2,C503,2.2,2.0,11.0,42.5,510.0,708.0,587.55,589.55,83.2366
2,C407,1.6,4.0,7.5,37.5,540.0,840.0,596.87,600.87,89.3399
2,C018,2.1,4.0,7.5,37.5,585.0,739.0,600.87,604.87,89.3399
2,C478,3.2,5.4,4.0,28.0,600.0,872.0,617.02,622.42,99.4641
2,C288,2.1,1.8,13.0,26.0,630.0,865.0,633.48,635.28,108.6837
2,C318,2.9,2.4,10.0,20.0,570.0,781.0,643.33,645.73,115.3919
2,C509,1.1,4.0,5.0,17.5,510.0,695.0,652.44,656.44,120.982
2,C217,3.9,0.4,2.5,15.0,555.0,819.0,660.68,661.08,124.5176
2,C391,2.2,0.2,7.5,9.5,615.0,889.0,670.0,670.2,131.9506
2,C292,3.7,0.4,11.0,11.0,600.0,886.0,674.77,675.17,135.7585
2,C399,1.6,1.8,10.0,13.0,510.0,806.0,677.85,679.65,137.9946
2,C299,1.6,1.8,10.0,13.0,645.0,793.0,679.65,681.45,137.9946
2,C146,0.9,6.0,17.0,12.5,480.0,760.0,689.88,695.88,145.0124
2,C174,1.2,10.0,26.5,17.5,420.0,709.0,708.76,718.76,155.7478
2,C064,2.6,2.0,24.0,15.0,645.0,920.0,723.0,725.0,159.2834
2,C164,2.9,2.0,24.0,15.0,570.0,856.0,725.0,727.0,159.2834
2,C312,2.6,3.8,25.0,17.5,585.0,883.0,730.23,734.03,161.976
2,C431,3.5,4.0,44.0,17.5,615.0,871.0,756.83,760.83,180.976
2,C090,2.7,2.0,30.0,27.5,600.0,823.0,781.48,783.48,198.1806
2,C554,2.8,3.2,27.5,30.0,645.0,791.0,787.72,790.92,201.7161
2,C003,2.6,2.0,21.0,33.0,630.0,813.0,799.51,801.51,208.8751
2,C441,3.6,4.0,29.0,37.5,630.0,813.0,812.53,816.53,218.0538
2,C579,2.4,6.0,3.0,34.0,825.0,1081.0,848.01,854.01,244.2884
2,C195,1.7,6.0,31.0,40.0,900.0,1187.0,900.0,906.0,272.924
2,C532,1.1,2.0,43.5,15.0,960.0,1138.0,960.0,962.0,300.8748
2,C076,2.4,2.0,45.0,17.5,960.0,1122.0,965.5,967.5,303.7903
2,C188,2.6,6.0,32.5,30.0,1005.0,1239.0,1005.0,1011.0,321.468
2,C085,1.8,6.0,34.0,30.0,1005.0,1287.0,1012.8,1018.8,322.968
2,C494,1.5,4.6,28.5,24.0,1020.0,1255.0,1028.57,1033.17,331.1074
2,C320,0.9,1.8,22.5,32.5,1005.0,1227.0,1045.65,1047.45,341.5117
2,C004,0.2,2.0,21.0,34.0,1050.0,1303.0,1050.0,1052.0,343.633
2,C270,1.4,1.0,18.5,28.0,990.0,1142.0,1059.8,1060.8,350.133
2,C582,0.3,1.8,13.5,21.5,1005.0,1209.0,1070.64,1072.44,358.3337
2,C395,2.0,4.0,12.5,12.0,990.0,1239.0,1083.9,1087.9,367.8861
2,C298,0.8,2.0,9.5,10.5,975.0,1235.0,1091.93,1093.93,371.2402
2,C558,1.7,4.0,7.5,5.0,1095.0,1176.0,1100.95,1104.95,377.0926
2,C314,2.0,4.0,7.5,5.0,1095.0,1156.0,1104.95,1108.95,377.0926
2,C343,4.3,1.4,11.5,1.5,1110.0,1258.0,1115.33,1116.73,382.4077
2,C477,2.0,1.4,11.5,1.5,1080.0,1147.0,1116.73,1118.13,382.4077
2,C257,0.9,1.4,16.0,6.0,1080.0,1154.0,1125.77,1127.17,388.7716
2,C050,3.2,2.0,13.0,16.0,1140.0,1268.0,1140.0,1142.0,399.2119
2,C369,3.5,1.2,18.5,23.5,1125.0,1187.0,1153.16,1154.36,408.5125
2,C331,2.3,5.4,15.5,26.0,1125.0,1189.0,1159.05,1164.45,412.4176
2,C124,3.8,2.0,12.5,25.0,1140.0,1207.0,1168.24,1170.24,415.5799
2,C120,2.3,2.0,15.0,25.0,1170.0,1257.0,1173.24,1175.24,418.0799
2,C252,1.3,1.8,13.5,21.5,1170.0,1255.0,1179.81,1181.61,421.8878
2,C106,1.4,4.0,8.0,21.0,1170.0,1256.0,1188.24,1192.24,427.4104
2,C033,2.3,8.0,4.0,20.0,1170.0,1311.0,1197.19,1205.19,431.5335
2,C345,1.2,3.2,3.0,19.0,975.0,1208.0,1206.88,1210.08,432.9478
2,C138,1.5,6.0,0.0,20.0,1125.0,1246.0,1213.88,1219.88,436.11
2,C384,2.4,1.4,5.5,15.5,1185.0,1254.0,1228.41,1229.81,443.2164
2,C386,4.2,7.0,2.0,9.0,1185.0,1256.0,1238.66,1245.66,450.5988
2,C315,3.4,1.6,15.0,2.5,1170.0,1269.0,1263.11,1264.71,465.1332
2,C157,4.0,8.0,19.0,7.5,1200.0,1318.0,1272.39,1280.39,471.5364
2,C154,1.3,8.0,21.0,5.0,1155.0,1301.0,1284.23,1292.23,474.7379
2,C153,0.9,4.0,22.0,2.5,1215.0,1299.0,1295.46,1299.46,477.4305
2,C589,1.0,5.0,33.5,2.5,1245.0,1334.0,1313.26,1318.26,488.9305
2,DEPOT_RETURN,0.0,0.0,20.0,25.0,,,1349.75,1349.75,515.1698
3,DEPOT,0.0,0.0,20.0,25.0,,,0.0,0.0,0.0
3,C125,1.0,8.0,11.0,33.0,480.0,567.0,480.0,488.0,12.0416
3,C326,0.7,3.4,22.5,15.0,405.0,679.0,513.63,517.03,33.4016
3,C451,3.0,3.8,27.5,10.0,495.0,737.0,525.52,529.32,40.4727
3,C069,3.3,2.0,22.5,17.5,540.0,610.0,540.13,542.13,49.4865
3,C467,3.2,1.8,32.0,21.0,540.0,834.0,554.28,556.08,59.6108
3,C443,1.8,4.0,27.5,42.5,570.0,767.0,582.44,586.44,81.5767
3,C012,2.0,4.0,12.5,42.5,585.0,811.0,604.44,608.44,96.5767
3,C097,1.6,6.0,30.0,42.5,555.0,715.0,629.44,635.44,114.0767
3,C537,2.5,2.0,32.5,41.0,630.0,754.0,638.94,640.94,116.9921
3,C438,2.1,6.0,31.0,40.0,555.0,678.0,643.1,649.1,118.7949
3,C500,2.6,0.6,15.5,33.5,675.0,973.0,675.0,675.6,135.6026
3,C207,2.2,1.0,10.0,25.0,585.0,718.0,687.75,688.75,145.7269
3,C231,2.7,5.4,15.5,26.0,570.0,720.0,695.46,700.86,151.317
3,C480,2.1,2.6,23.5,23.5,540.0,762.0,710.92,713.52,159.6986
3,C226,2.2,3.4,22.5,15.0,585.0,733.0,723.79,727.19,168.2572
3,C020,2.3,2.0,15.0,25.0,645.0,848.0,742.19,744.19,180.7572
3,C240,3.5,1.8,20.0,12.5,630.0,772.0,760.34,762.14,194.2201
3,C596,1.7,5.2,27.5,27.0,780.0,905.0,781.73,786.93,210.5449
3,C302,5.3,1.4,17.5,8.5,540.0,821.0,812.17,813.57,231.5747
3,C483,2.8,2.8,18.5,15.5,810.0,966.0,822.05,824.85,238.6457
3,C334,4.4,2.8,32.5,27.5,615.0,908.0,846.98,849.78,257.0848
3,C332,2.1,4.6,17.5,34.5,690.0,902.0,869.64,874.24,273.6378
3,C569,3.4,5.4,15.5,26.0,810.0,1107.0,884.72,890.12,282.3699
3,C385,2.2,8.2,8.0,11.0,840.0,987.0,910.25,918.45,299.1404
3,C286,2.1,7.0,2.0,9.0,825.0,1040.0,926.03,933.03,305.465
3,C522,3.1,8.0,20.0,7.5,960.0,1214.0,960.0,968.0,323.5274
3,C425,2.8,4.0,17.5,2.5,960.0,1251.0,974.71,978.71,329.1175
3,C392,2.0,0.4,11.0,11.0,960.0,1091.0,991.55,991.95,339.818
3,C512,1.4,4.0,4.0,22.5,1005.0,1172.0,1008.1,1012.1,353.2809
3,C475,1.2,3.2,2.5,2.5,1035.0,1183.0,1036.17,1039.37,373.3371
3,C280,4.4,1.2,28.0,18.5,1035.0,1291.0,1075.5,1076.7,403.4411
3,C041,5.0,2.0,17.5,16.0,1080.0,1156.0,1089.65,1091.65,414.2346
3,C145,2.7,2.0,15.0,15.0,1095.0,1175.0,1095.0,1097.0,416.9272
3,C360,2.2,0.6,8.5,17.0,1095.0,1166.0,1105.16,1105.76,423.7279
3,C350,3.9,2.6,23.5,23.5,1125.0,1185.0,1125.38,1127.98,440.0757
3,C351,2.1,2.0,24.5,29.0,1110.0,1187.0,1134.69,1136.69,445.6659
3,C233,3.0,2.2,26.5,26.0,1095.0,1171.0,1141.01,1143.21,449.2714
3,C493,3.1,0.6,30.5,26.0,1095.0,1163.0,1148.01,1148.61,453.2714
3,C571,1.5,2.8,32.5,27.5,1125.0,1193.0,1151.61,1154.41,455.7714
3,C471,1.4,2.8,32.5,27.5,1080.0,1164.0,1154.41,1157.21,455.7714
3,C086,1.5,2.0,33.0,27.5,1125.0,1195.0,1157.81,1159.81,456.2714
3,C083,2.8,2.0,36.0,27.5,1080.0,1164.0,1163.41,1165.41,459.2714
3,C472,4.1,1.6,31.5,32.5,1005.0,1297.0,1173.49,1175.09,465.9982
3,C335,1.1,1.6,31.5,32.5,1125.0,1215.0,1175.09,1176.69,465.9982
3,C103,2.7,2.0,31.0,34.5,1095.0,1184.0,1179.16,1181.16,468.0598
3,C265,2.8,4.0,31.0,38.5,1005.0,1197.0,1185.96,1189.96,472.0598
3,C535,1.1,4.0,33.5,42.5,1170.0,1258.0,1195.62,1199.62,476.7768
3,C009,2.2,2.0,19.0,35.0,1005.0,1302.0,1219.21,1221.21,493.1016
3,C111,2.9,2.0,17.5,34.5,1065.0,1301.0,1223.11,1225.11,494.6827
3,C263,4.7,2.0,13.5,34.5,990.0,1283.0,1229.91,1231.91,498.6827
3,C473,2.9,1.0,1.0,30.0,1125.0,1253.0,1247.85,1248.85,511.9681
3,C031,4.5,4.0,5.0,17.5,1125.0,1269.0,1264.6,1268.6,525.0925
3,C352,2.2,1.8,13.5,21.5,1050.0,1289.0,1279.87,1281.67,534.4866
3,C459,2.4,3.8,5.0,10.0,1065.0,1357.0,1298.83,1302.63,548.787
3,C051,4.0,2.0,12.5,15.0,1050.0,1320.0,1313.45,1315.45,557.8008
3,DEPOT_RETURN,0.0,0.0,20.0,25.0,,,1330.45,1330.45,570.3008
4,DEPOT,0.0,0.0,20.0,25.0,,,0.0,0.0,0.0
4,C267,3.8,5.0,33.5,2.5,450.0,737.0,450.0,455.0,26.2393
4,C172,1.8,2.0,26.5,15.0,465.0,655.0,472.19,474.19,40.5658
4,C282,0.4,3.2,7.5,23.5,495.0,709.0,499.17,502.37,61.3805
4,C342,4.2,1.0,12.0,6.0,450.0,750.0,524.05,525.05,79.4498
4,C202,2.2,1.4,17.5,8.5,540.0,681.0,540.0,541.4,85.4913
4,C560,3.2,3.4,7.5,30.0,540.0,702.0,569.85,573.25,109.2031
4,C023,1.3,2.0,14.0,27.5,480.0,689.0,581.61,583.61,116.1673
4,C301,3.7,2.0,20.5,24.5,540.0,787.0,592.2,594.2,123.3262
4,C026,2.9,2.0,12.5,27.5,600.0,864.0,604.45,606.45,131.8702
4,C266,1.6,5.0,24.5,36.5,600.0,869.0,624.45,629.45,146.8702
4,C093,0.8,8.0,32.5,42.5,645.0,925.0,645.0,653.0,156.8702
4,C531,3.6,4.0,44.0,17.5,600.0,855.0,686.02,690.02,184.3884
4,C325,1.6,1.2,32.5,10.0,690.0,979.0,706.5,707.7,198.118
4,C143,2.3,2.0,16.5,17.5,645.0,838.0,728.9,730.9,215.7885
4,C245,2.5,3.2,3.0,19.0,735.0,944.0,747.2,750.4,229.3716
4,C039,0.8,4.0,0.0,22.5,750.0,941.0,755.93,759.93,233.9814
4,C307,1.2,1.0,10.0,25.0,645.0,776.0,772.3,773.3,244.2892
4,C028,1.0,4.0,11.5,27.5,630.0,777.0,776.8,780.8,247.2046
4,C460,0.7,3.4,7.5,30.0,780.0,955.0,786.46,789.86,251.9216
4,C508,2.2,2.0,7.5,40.0,630.0,808.0,801.86,803.86,261.9216
4,C230,1.2,4.2,20.0,30.0,630.0,824.0,823.07,827.27,277.9294
4,C573,1.5,1.0,1.0,30.0,600.0,864.0,850.07,851.07,296.9294
4,C453,1.0,1.0,10.0,25.0,915.0,1098.0,915.0,916.0,307.2251
4,C221,2.3,2.2,22.5,10.0,720.0,1012.0,939.43,941.63,326.7507
4,C065,2.7,2.0,24.0,20.0,825.0,1021.0,953.76,955.76,336.8626
4,C190,2.8,2.0,30.0,27.5,795.0,1072.0,967.29,969.29,346.4673
4,C088,2.6,6.0,32.5,30.0,960.0,1121.0,973.53,979.53,350.0028
4,C092,3.4,4.0,33.5,42.5,960.0,1128.0,994.58,998.58,362.5427
4,C177,2.3,2.0,36.0,22.5,1035.0,1172.0,1035.0,1037.0,382.6984
4,C433,3.0,2.0,42.5,12.5,1035.0,1164.0,1051.31,1053.31,394.6252
4,C563,0.0,1.2,32.5,10.0,1065.0,1337.0,1065.68,1066.88,404.933
4,C241,2.3,1.0,21.0,3.5,1080.0,1147.0,1082.73,1083.73,418.1428
4,C295,2.7,4.0,12.5,12.0,1095.0,1179.0,1098.16,1102.16,430.1637
4,C499,1.9,3.0,13.0,17.5,1095.0,1185.0,1108.79,1111.79,435.6863
4,C208,2.6,1.8,5.0,21.5,1110.0,1173.0,1122.52,1124.32,444.6306
4,C416,4.2,4.0,0.0,20.0,1050.0,1243.0,1130.58,1134.58,449.8508
4,C135,2.7,2.0,2.5,17.5,1095.0,1164.0,1138.83,1140.83,453.3863
4,C513,2.3,2.0,2.5,17.5,1020.0,1141.0,1140.83,1142.83,453.3863
4,C216,4.9,3.8,5.0,10.0,1020.0,1186.0,1152.31,1156.11,461.292
4,C344,4.9,3.6,5.5,7.0,1020.0,1255.0,1159.76,1163.36,464.3334
4,C243,2.4,1.4,11.5,1.5,1170.0,1253.0,1173.13,1174.53,472.4728
4,C374,2.7,1.6,23.0,6.5,1185.0,1252.0,1189.58,1191.18,485.0127
4,C490,3.3,1.2,18.5,23.5,1125.0,1215.0,1212.28,1213.48,502.5982
4,C327,4.2,3.2,17.5,20.0,1185.0,1256.0,1217.85,1221.05,506.2383
4,C206,2.2,0.6,12.5,15.0,1200.0,1273.0,1229.53,1230.13,513.3093
4,C570,4.4,4.6,17.5,34.5,1125.0,1258.0,1254.29,1258.89,533.4402
4,C541,0.9,4.0,29.0,37.5,1230.0,1291.0,1273.15,1277.15,545.325
4,C365,3.3,4.0,31.0,38.5,1035.0,1301.0,1279.84,1283.84,547.5611
4,DEPOT_RETURN,0.0,0.0,20.0,25.0,,,1304.73,1304.73,564.9752
5,DEPOT,0.0,0.0,20.0,25.0,,,0.0,0.0,0.0
5,C400,3.3,3.4,9.0,9.0,555.0,688.0,555.0,558.4,19.4165
5,C394,1.6,5.4,13.0,13.5,570.0,731.0,570.0,575.4,25.4373
5,C253,1.6,2.8,18.5,15.5,570.0,841.0,582.42,585.22,31.2896
5,C309,2.2,3.2,27.5,30.0,540.0,808.0,605.7,608.9,48.3557
5,C272,2.8,5.0,23.5,8.0,570.0,769.0,635.73,640.73,70.7164
5,C159,2.7,2.0,19.0,5.0,645.0,928.0,647.22,649.22,76.1247
5,C357,0.2,1.4,16.0,6.0,585.0,833.0,653.02,654.42,79.287
5,C387,3.8,5.2,14.0,9.0,615.0,827.0,658.75,663.95,82.8925
5,C144,0.5,2.0,16.0,10.0,675.0,953.0,675.0,677.0,85.1286
5,C121,1.6,4.0,15.0,28.0,645.0,846.0,698.63,702.63,103.1563
5,C001,2.9,2.0,22.5,34.0,630.0,863.0,714.16,716.16,112.761
5,C501,3.0,4.0,12.5,42.5,615.0,876.0,731.91,735.91,125.8854
5,C114,3.6,2.0,11.0,42.5,675.0,921.0,737.71,739.71,127.3854
5,C264,1.1,1.8,7.5,38.5,540.0,802.0,746.09,747.89,132.7005
5,C248,2.1,7.2,6.5,26.0,645.0,883.0,762.93,770.13,145.2404
5,C348,2.9,7.2,6.5,26.0,675.0,826.0,770.13,777.33,145.2404
5,C328,3.4,3.2,20.5,18.5,765.0,895.0,796.39,799.59,161.1228
5,C380,2.2,1.2,28.0,18.5,585.0,832.0,808.59,809.79,168.6228
5,C278,4.0,0.6,30.5,26.0,675.0,907.0,819.28,819.88,176.5285
5,C084,1.3,4.0,35.0,29.0,675.0,944.0,826.37,830.37,181.9368
5,C178,4.0,4.0,39.0,20.0,675.0,945.0,842.19,846.19,191.7857
5,C322,0.7,3.6,22.5,5.0,750.0,891.0,872.95,876.55,214.0848
5,C420,0.8,2.0,21.0,7.5,645.0,932.0,880.05,882.05,217.0003
5,C359,3.3,5.6,10.5,12.0,735.0,896.0,895.75,901.35,228.4239
5,C417,0.7,4.0,0.0,22.5,660.0,926.0,919.17,923.17,243.2732
5,C409,3.7,4.0,5.0,17.5,915.0,1152.0,931.66,935.66,250.3443
5,C068,2.8,2.0,22.5,15.0,960.0,1120.0,960.0,962.0,268.0219
5,C166,3.8,2.0,23.5,17.5,960.0,1157.0,965.23,967.23,270.7145
5,C366,1.4,5.0,24.5,36.5,960.0,1207.0,990.06,995.06,289.7408
5,C098,3.0,4.0,29.0,37.5,990.0,1251.0,1000.59,1004.59,294.3506
5,C543,1.9,4.0,27.5,42.5,1005.0,1208.0,1010.86,1014.86,299.5707
5,C113,2.4,6.0,11.0,37.5,1005.0,1136.0,1035.55,1041.55,316.8117
5,C310,1.3,3.2,15.0,30.0,1050.0,1334.0,1051.75,1054.95,325.3117
5,C024,1.7,2.0,12.5,25.0,1035.0,1206.0,1061.66,1063.66,330.9018
5,C029,2.7,2.0,10.0,25.0,1005.0,1226.0,1066.66,1068.66,333.4018
5,C139,2.9,4.0,0.0,22.5,960.0,1140.0,1081.03,1085.03,343.7096
5,C393,2.6,4.4,9.0,12.0,1035.0,1238.0,1101.62,1106.02,357.5389
5,C474,0.8,1.6,10.0,10.0,1095.0,1162.0,1108.7,1110.3,359.775
5,C552,3.0,0.6,12.5,15.0,1110.0,1173.0,1117.01,1117.61,365.3652
5,C150,2.6,2.0,13.0,16.0,1095.0,1163.0,1118.95,1120.95,366.4832
5,C590,1.2,1.2,18.5,23.5,1080.0,1143.0,1132.11,1133.31,375.7837
5,C228,4.2,3.2,20.5,18.5,1095.0,1167.0,1139.78,1142.98,381.1689
5,C212,2.7,3.8,25.0,17.5,1095.0,1180.0,1148.51,1152.31,385.7787
5,C062,2.0,4.0,25.0,17.5,1080.0,1159.0,1152.31,1156.31,385.7787
5,C165,2.4,2.0,22.0,12.5,1155.0,1216.0,1163.31,1165.31,391.6096
5,C059,2.5,2.0,19.0,7.5,1110.0,1175.0,1172.3,1174.3,397.4406
5,C549,4.3,2.0,21.0,6.0,975.0,1194.0,1177.3,1179.3,399.9406
5,C449,2.6,2.0,21.0,6.0,1020.0,1303.0,1179.3,1181.3,399.9406
5,C521,2.2,2.0,20.0,2.5,1125.0,1210.0,1185.67,1187.67,403.5806
5,C448,3.8,2.0,21.0,2.5,1110.0,1192.0,1188.87,1190.87,404.5806
5,C518,2.7,4.0,22.0,2.5,1140.0,1268.0,1192.07,1196.07,405.5806
5,C375,1.4,3.6,24.5,5.5,1155.0,1218.0,1200.76,1204.36,409.4857
5,C489,4.1,5.0,33.5,2.5,1140.0,1271.0,1215.74,1220.74,418.9726
5,C239,1.6,6.2,30.0,6.0,1155.0,1240.0,1226.68,1232.88,423.9223
5,C339,1.5,6.2,30.0,6.0,1170.0,1250.0,1232.88,1239.08,423.9223
5,C258,1.3,3.6,18.0,13.0,1215.0,1285.0,1255.75,1259.35,437.8148
5,C294,1.2,5.4,13.0,13.5,1185.0,1267.0,1265.38,1270.78,442.8397
5,C574,3.2,1.6,10.0,10.0,1215.0,1362.0,1276.31,1277.91,447.4495
5,C482,3.9,1.8,13.5,21.5,1050.0,1317.0,1292.34,1294.14,459.4703
5,C468,3.3,4.2,20.0,30.0,1035.0,1322.0,1306.98,1311.18,470.1708
