day_of_week,cust_id,demand_kg,service_time,x_coor,y_coor
4,C194,1.9,2.0,32.5,41.0
4,C546,2.9,2.0,9.0,40.0
4,C046,3.3,6.0,15.0,16.0
5,C396,2.4,2.2,11.0,13.5
5,C497,2.3,7.0,2.0,9.0
5,C597,2.9,7.0,2.0,9.0
5,C511,1.4,8.0,4.0,20.0
5,C317,3.5,0.4,2.5,15.0
5,C249,1.8,6.0,3.0,34.0
5,C505,2.3,4.0,10.0,42.5
5,C232,3.3,4.6,17.5,34.5
5,C491,1.8,2.6,24.5,21.0
5,C418,2.0,4.0,22.0,2.5
5,C046,3.3,6.0,15.0,16.0
5,C129,2.6,2.0,10.0,25.0
5,C536,5.1,8.0,32.5,42.5
5,C372,0.0,5.0,23.5,8.0
5,C171,2.9,4.0,47.5,17.5
5,C507,4.9,4.0,7.5,37.5
5,C235,1.1,1.6,31.5,32.5
5,C436,2.0,8.0,32.5,42.5
5,C542,0.8,2.0,27.5,40.0
5,C035,2.1,2.0,2.5,17.5
5,C179,3.3,2.0,43.5,15.0
5,C381,2.9,5.2,27.5,27.0
5,C201,2.1,2.0,20.5,24.5
5,C426,2.3,6.0,47.5,15.0
5,C214,1.4,4.0,7.5,5.0
5,C538,2.1,6.0,31.0,40.0
5,C401,2.5,4.0,12.5,42.5
5,C073,3.7,2.0,46.0,15.0
5,C104,2.1,2.0,30.0,33.0
5,C411,2.8,8.0,4.0,20.0
5,C224,1.6,0.6,32.5,17.5
5,C446,2.1,2.0,9.0,40.0
5,C200,2.0,4.0,27.5,42.5
5,C081,4.1,6.0,42.5,17.5
5,C463,3.3,1.2,32.5,10.0
5,C530,4.1,2.0,44.0,15.0
5,C071,2.8,4.0,47.5,17.5
5,C594,1.3,4.6,28.5,24.0
5,C323,2.7,5.8,27.5,2.5
5,C434,2.3,6.0,42.5,17.5
5,C575,1.4,3.2,2.5,2.5
5,C430,2.1,2.0,44.0,15.0
5,C533,3.4,2.0,42.5,12.5
5,C440,2.9,6.0,30.0,42.5
5,C123,3.4,2.0,7.0,33.0
5,C382,2.4,3.2,7.5,23.5
5,C415,2.9,4.0,1.0,20.0
5,C082,2.5,4.0,37.5,27.5
5,C030,2.8,2.0,10.0,27.5
5,C099,1.6,2.0,27.5,40.0
5,C134,1.3,4.0,4.0,22.5
6,C251,2.3,2.0,24.5,29.0
6,C530,4.1,2.0,44.0,15.0
6,C403,1.0,2.0,11.0,42.5
6,C564,2.0,3.4,22.5,15.0
6,C011,1.4,2.0,17.5,34.5
6,C502,0.4,6.0,11.0,37.5
6,C156,2.1,6.0,20.0,2.5
6,C333,1.6,2.2,26.5,26.0
6,C434,2.3,6.0,42.5,17.5
6,C426,2.3,6.0,47.5,15.0
6,C597,2.9,7.0,2.0,9.0
6,C445,2.1,2.0,10.0,41.0
6,C214,1.4,4.0,7.5,5.0
6,C209,3.6,3.2,27.5,30.0
6,C405,3.1,4.0,10.0,42.5
6,C551,3.2,3.8,27.5,10.0
6,C354,2.9,3.6,28.5,14.5
6,C173,4.4,2.0,46.0,15.0
6,C182,2.3,4.0,37.5,27.5
6,C091,4.3,2.0,30.0,30.0
6,C556,2.8,3.8,25.0,17.5
6,C539,1.9,2.0,30.0,40.0
6,C297,2.5,2.4,12.5,10.5
6,C185,1.7,6.0,43.0,23.0
6,C372,0.0,5.0,23.5,8.0
6,C254,3.5,3.6,28.5,14.5
6,C171,2.9,4.0,47.5,17.5
6,C528,1.1,2.0,46.0,15.0
6,C461,2.8,1.8,22.5,32.5
6,C514,1.4,2.0,2.5,22.5
6,C235,1.1,1.6,31.5,32.5
6,C304,2.0,3.8,27.5,10.0
6,C249,1.8,6.0,3.0,34.0
6,C548,1.4,2.0,21.0,2.5
6,C094,3.0,2.0,32.5,41.0
6,C271,2.2,3.0,28.5,34.0
6,C338,2.1,3.2,2.5,2.5
6,C269,2.1,1.2,18.5,23.5
6,C070,2.6,6.0,47.5,15.0
6,C108,1.3,4.0,17.0,30.0
6,C316,4.3,3.8,5.0,10.0
6,C364,1.9,1.8,7.5,38.5
6,C194,1.9,2.0,32.5,41.0
6,C404,2.8,8.0,10.0,40.0
6,C211,2.3,2.4,10.0,32.5
6,C067,2.2,2.0,23.5,20.0
6,C087,1.6,4.0,32.5,27.5
6,C277,2.5,2.8,26.5,21.5
6,C038,2.8,6.0,0.0,20.0
6,C149,4.0,2.0,24.0,10.0
7,C073,3.7,2.0,46.0,15.0
7,C528,1.1,2.0,46.0,15.0
7,C553,2.3,1.0,10.0,25.0
7,C034,2.8,4.0,4.0,22.5
7,C446,2.1,2.0,9.0,40.0
7,C429,1.8,2.0,45.0,17.5
7,C526,4.0,6.0,47.5,15.0
7,C497,2.3,7.0,2.0,9.0
7,C406,3.7,4.0,9.0,37.5
7,C562,4.0,0.6,32.5,17.5
7,C038,2.8,6.0,0.0,20.0
7,C238,0.0,3.2,2.5,2.5
7,C427,0.7,4.0,47.5,17.5
7,C179,3.3,2.0,43.5,15.0
7,C129,2.6,2.0,10.0,25.0
