day_of_week,cust_id,demand_kg,service_time,x_coor,y_coor,expected_day
1,C027,3.3,2.0,11.5,26.0,2
1,C006,2.5,4.0,20.0,34.5,5
1,C273,0.8,1.8,22.0,8.5,4
1,C172,1.8,2.0,26.5,15.0,3
1,C586,3.9,5.6,10.5,12.0,2
1,C570,4.4,4.6,17.5,34.5,6
1,C438,2.1,6.0,31.0,40.0,6
1,C360,2.2,0.6,8.5,17.0,2
1,C403,1.0,2.0,11.0,42.5,5
1,C431,3.5,4.0,44.0,17.5,0
1,C500,2.6,0.6,15.5,33.5,5
1,C472,4.1,1.6,31.5,32.5,3
1,C071,2.8,4.0,47.5,17.5,2
1,C567,1.2,1.8,32.0,21.0,4
1,C540,4.5,6.0,30.0,42.5,6
1,C279,1.2,4.6,28.5,24.0,5
1,C350,3.9,2.6,23.5,23.5,3
1,C155,3.5,2.0,21.0,7.5,4
1,C344,4.9,3.6,5.5,7.0,6
1,C003,2.6,2.0,21.0,33.0,3
1,C463,3.3,1.2,32.5,10.0,2
1,C551,3.2,3.8,27.5,10.0,2
1,C009,2.2,2.0,19.0,35.0,5
1,C529,2.9,2.0,45.0,17.5,5
1,C558,1.7,4.0,7.5,5.0,2
1,C494,1.5,4.6,28.5,24.0,2
1,C569,3.4,5.4,15.5,26.0,4
1,C075,2.4,4.0,22.5,32.5,3
1,C195,1.7,6.0,31.0,40.0,3
1,C133,2.6,8.0,4.0,20.0,2
1,C210,3.7,3.2,15.0,30.0,3
1,C473,2.9,1.0,1.0,30.0,6
1,C073,3.7,2.0,46.0,15.0,7
1,C402,3.0,6.0,11.0,37.5,7
1,C332,2.1,4.6,17.5,34.5,5
1,C231,2.7,5.4,15.5,26.0,3
1,C101,3.0,2.0,26.0,37.5,6
1,C467,3.2,1.8,32.0,21.0,3
1,C181,1.3,6.0,42.5,17.5,5
1,C527,2.7,4.0,47.5,17.5,6
1,C372,0.0,5.0,23.5,8.0,3
1,C481,3.1,2.0,24.5,29.0,6
1,C103,2.7,2.0,31.0,34.5,4
1,C198,3.7,4.0,29.0,37.5,5
1,C232,3.3,4.6,17.5,34.5,6
1,C386,4.2,7.0,2.0,9.0,0
1,C498,2.9,1.8,13.0,26.0,5
1,C572,3.3,1.6,31.5,32.5,4
1,C479,1.2,6.0,3.0,34.0,7
1,C091,4.3,2.0,30.0,30.0,4
1,C335,1.1,1.6,31.5,32.5,3
1,C224,1.6,0.6,32.5,17.5,3
1,C099,1.6,2.0,27.5,40.0,3
1,C408,2.4,2.0,7.5,40.0,3
1,C223,1.0,5.8,27.5,2.5,4
1,C149,4.0,2.0,24.0,10.0,3
1,C252,1.3,1.8,13.5,21.5,7
1,C429,1.8,2.0,45.0,17.5,6
1,C506,4.3,4.0,9.0,37.5,5
1,C356,3.2,1.2,26.5,6.0,6
1,C582,0.3,1.8,13.5,21.5,3
1,C507,4.9,4.0,7.5,37.5,7
1,C191,2.1,2.0,30.0,30.0,3
1,C012,2.0,4.0,12.5,42.5,7
1,C508,2.2,2.0,7.5,40.0,7
1,C057,3.8,8.0,20.0,7.5,2
1,C518,2.7,4.0,22.0,2.5,0
1,C245,2.5,3.2,3.0,19.0,2
1,C549,4.3,2.0,21.0,6.0,4
1,C153,0.9,4.0,22.0,2.5,2
1,C534,2.5,6.0,42.5,17.5,5
1,C497,2.3,7.0,2.0,9.0,6
1,C039,0.8,4.0,0.0,22.5,4
1,C485,4.6,0.4,31.5,11.5,3
1,C406,3.7,4.0,9.0,37.5,7
1,C020,2.3,2.0,15.0,25.0,3
1,C211,2.3,2.4,10.0,32.5,7
1,C564,2.0,3.4,22.5,15.0,4
1,C600,2.0,0.6,15.5,33.5,4
1,C125,1.0,8.0,11.0,33.0,5
1,C484,0.0,3.6,28.5,14.5,7
1,C301,3.7,2.0,20.5,24.5,3
1,C095,2.4,6.0,31.0,40.0,3
1,C114,3.6,2.0,11.0,42.5,6
1,C535,1.1,4.0,33.5,42.5,4
1,C334,4.4,2.8,32.5,27.5,4
1,C514,1.4,2.0,2.5,22.5,2
1,C362,2.6,3.8,12.0,29.0,6
1,C119,2.4,2.0,7.5,40.0,6
1,C233,3.0,2.2,26.5,26.0,2
1,C537,2.5,2.0,32.5,41.0,6
1,C107,2.1,4.0,29.0,35.0,5
1,C030,2.8,2.0,10.0,27.5,2
1,C290,1.0,0.6,15.5,33.5,6
1,C037,2.6,4.0,1.0,20.0,2
1,C077,2.7,2.0,44.0,15.0,5
1,C005,1.8,2.0,21.0,32.5,5
1,C435,2.6,4.0,33.5,42.5,0
1,C265,2.8,4.0,31.0,38.5,3
1,C120,2.3,2.0,15.0,25.0,3
1,C576,3.8,6.2,30.0,6.0,7
1,C214,1.4,4.0,7.5,5.0,2
1,C563,0.0,1.2,32.5,10.0,5
1,C322,0.7,3.6,22.5,5.0,6
1,C336,1.9,1.0,1.0,30.0,6
1,C115,2.0,8.0,10.0,40.0,7
1,C010,2.0,2.0,17.5,33.0,5
1,C305,1.4,5.2,7.5,15.0,3
1,C013,2.8,6.0,11.0,37.5,3
1,C353,3.4,2.8,18.5,15.5,2
1,C267,3.8,5.0,33.5,2.5,4
1,C226,2.2,3.4,22.5,15.0,4
1,C528,1.1,2.0,46.0,15.0,5
1,C340,2.8,1.8,20.0,12.5,3
1,C571,1.5,2.8,32.5,27.5,3
1,C110,2.3,2.0,17.5,33.0,3
1,C466,1.1,3.2,20.5,18.5,2
1,C366,1.4,5.0,24.5,36.5,6
1,C186,3.0,2.0,33.0,27.5,6
1,C022,3.2,4.0,14.0,26.0,2
1,C598,4.4,1.8,13.0,26.0,2
1,C220,3.4,1.8,22.5,32.5,4
2,C544,3.7,2.0,27.5,41.0,7
2,C151,1.8,2.0,12.5,15.0,3
2,C173,4.4,2.0,46.0,15.0,5
2,C477,2.0,1.4,11.5,1.5,4
2,C524,2.7,2.0,19.0,7.5,3
2,C190,2.8,2.0,30.0,27.5,5
2,C593,2.3,0.6,30.5,26.0,4
2,C001,2.9,2.0,22.5,34.0,3
2,C427,0.7,4.0,47.5,17.5,7
2,C081,4.1,6.0,42.5,17.5,5
2,C483,2.8,2.8,18.5,15.5,3
2,C023,1.3,2.0,14.0,27.5,3
2,C433,3.0,2.0,42.5,12.5,7
2,C443,1.8,4.0,27.5,42.5,5
2,C219,1.3,3.4,7.5,30.0,3
2,C175,2.3,4.0,22.5,32.5,6
2,C017,2.4,4.0,9.0,37.5,5
2,C568,1.5,4.2,20.0,30.0,7
2,C176,3.6,2.0,45.0,17.5,3
2,C390,2.3,0.6,15.5,33.5,7
2,C562,4.0,0.6,32.5,17.5,4
2,C501,3.0,4.0,12.5,42.5,5
2,C578,4.5,5.4,4.0,28.0,5
2,C140,2.6,2.0,18.0,9.0,3
2,C148,1.9,2.0,18.0,20.0,3
2,C542,0.8,2.0,27.5,40.0,5
2,C470,2.7,4.6,17.5,34.5,6
2,C520,3.2,2.0,21.0,7.5,3
2,C548,1.4,2.0,21.0,2.5,4
2,C104,2.1,2.0,30.0,33.0,5
2,C076,2.4,2.0,45.0,17.5,7
2,C502,0.4,6.0,11.0,37.5,0
2,C188,2.6,6.0,32.5,30.0,5
2,C338,2.1,3.2,2.5,2.5,6
2,C441,3.6,4.0,29.0,37.5,5
2,C070,2.6,6.0,47.5,15.0,7
2,C272,2.8,5.0,23.5,8.0,3
2,C254,3.5,3.6,28.5,14.5,3
2,C539,1.9,2.0,30.0,40.0,7
2,C282,0.4,3.2,7.5,23.5,3
2,C007,3.3,4.0,20.0,33.0,7
2,C064,2.6,2.0,24.0,15.0,7
2,C185,1.7,6.0,43.0,23.0,5
2,C085,1.8,6.0,34.0,30.0,5
2,C321,2.5,2.2,22.5,10.0,3
2,C146,0.9,6.0,17.0,12.5,7
2,C089,3.0,2.0,31.5,29.0,3
2,C327,4.2,3.2,17.5,20.0,7
2,C346,2.6,0.2,1.0,24.0,6
2,C018,2.1,4.0,7.5,37.5,4
2,C109,3.1,2.0,14.0,35.0,5
2,C450,5.7,6.0,36.0,17.5,4
2,C247,0.8,5.4,4.0,28.0,5
2,C417,0.7,4.0,0.0,22.5,5
2,C503,2.2,2.0,11.0,42.5,6
2,C354,2.9,3.6,28.5,14.5,4
2,C097,1.6,6.0,30.0,42.5,6
2,C105,1.9,2.0,21.0,32.5,6
2,C093,0.8,8.0,32.5,42.5,5
2,C170,2.8,6.0,47.5,15.0,5
2,C451,3.0,3.8,27.5,10.0,6
2,C531,3.6,4.0,44.0,17.5,5
2,C143,2.3,2.0,16.5,17.5,6
2,C513,2.3,2.0,2.5,17.5,4
2,C113,2.4,6.0,11.0,37.5,3
2,C094,3.0,2.0,32.5,41.0,7
2,C116,4.2,8.0,10.0,42.5,7
2,C128,1.0,4.0,2.0,27.5,4
2,C256,1.6,1.2,26.5,6.0,3
2,C311,2.7,2.4,10.0,32.5,4
2,C171,2.9,4.0,47.5,17.5,7
2,C577,1.2,1.4,11.5,1.5,4
2,C553,2.3,1.0,10.0,25.0,5
2,C330,1.6,4.2,20.0,30.0,3
2,C422,0.9,8.0,20.0,7.5,4
2,C465,3.1,3.2,17.5,20.0,4
2,C369,3.5,1.2,18.5,23.5,3
2,C526,4.0,6.0,47.5,15.0,7
2,C538,2.1,6.0,31.0,40.0,6
2,C011,1.4,2.0,17.5,34.5,4
2,C355,3.7,0.4,31.5,11.5,6
2,C426,2.3,6.0,47.5,15.0,7
2,C084,1.3,4.0,35.0,29.0,4
2,C543,1.9,4.0,27.5,42.5,7
2,C439,2.9,2.0,30.0,40.0,6
2,C428,1.6,2.0,46.0,15.0,5
2,C016,1.8,8.0,10.0,42.5,7
2,C092,3.4,4.0,33.5,42.5,7
2,C180,1.6,2.0,42.5,12.5,6
2,C126,3.2,2.0,4.0,31.0,6
2,C589,1.0,5.0,33.5,2.5,5
2,C264,1.1,1.8,7.5,38.5,5
2,C006,2.5,4.0,20.0,34.5,5
2,C273,0.8,1.8,22.0,8.5,4
2,C172,1.8,2.0,26.5,15.0,3
2,C002,2.2,6.0,22.5,35.0,6
2,C570,4.4,4.6,17.5,34.5,6
2,C343,4.3,1.4,11.5,1.5,4
2,C500,2.6,0.6,15.5,33.5,5
2,C472,4.1,1.6,31.5,32.5,3
2,C540,4.5,6.0,30.0,42.5,6
2,C184,1.6,4.0,35.0,29.0,3
2,C003,2.6,2.0,21.0,33.0,3
2,C263,4.7,2.0,13.5,34.5,6
2,C036,3.2,2.0,2.5,22.5,7
2,C168,2.6,2.0,21.0,15.0,4
2,C135,2.7,2.0,2.5,17.5,4
2,C009,2.2,2.0,19.0,35.0,5
2,C419,3.1,8.0,21.0,5.0,3
2,C324,3.9,0.6,32.5,17.5,5
2,C075,2.4,4.0,22.5,32.5,3
2,C055,1.7,2.0,21.0,7.5,6
2,C195,1.7,6.0,31.0,40.0,3
2,C210,3.7,3.2,15.0,30.0,3
2,C473,2.9,1.0,1.0,30.0,6
2,C402,3.0,6.0,11.0,37.5,7
2,C080,3.1,2.0,42.5,12.5,5
2,C317,3.5,0.4,2.5,15.0,7
2,C467,3.2,1.8,32.0,21.0,3
2,C181,1.3,6.0,42.5,17.5,5
2,C527,2.7,4.0,47.5,17.5,6
2,C367,2.8,5.0,33.5,2.5,0
2,C103,2.7,2.0,31.0,34.5,4
2,C043,1.6,2.0,16.5,17.5,6
2,C230,1.2,4.2,20.0,30.0,4
2,C232,3.3,4.6,17.5,34.5,6
2,C414,2.2,2.0,2.5,22.5,7
2,C572,3.3,1.6,31.5,32.5,4
2,C479,1.2,6.0,3.0,34.0,7
2,C091,4.3,2.0,30.0,30.0,4
2,C223,1.0,5.8,27.5,2.5,4
2,C476,0.2,6.2,30.0,6.0,7
2,C149,4.0,2.0,24.0,10.0,3
2,C252,1.3,1.8,13.5,21.5,7
2,C583,3.1,2.8,18.5,15.5,3
2,C429,1.8,2.0,45.0,17.5,6
2,C506,4.3,4.0,9.0,37.5,5
2,C058,2.4,6.0,19.0,2.5,6
2,C356,3.2,1.2,26.5,6.0,6
2,C582,0.3,1.8,13.5,21.5,3
2,C201,2.1,2.0,20.5,24.5,3
2,C508,2.2,2.0,7.5,40.0,7
2,C012,2.0,4.0,12.5,42.5,7
2,C549,4.3,2.0,21.0,6.0,4
2,C534,2.5,6.0,42.5,17.5,5
2,C046,3.3,6.0,15.0,16.0,5
2,C371,0.8,3.0,28.5,34.0,7
2,C179,3.3,2.0,43.5,15.0,5
2,C550,2.4,6.0,36.0,17.5,7
2,C319,1.5,3.4,7.5,30.0,6
2,C357,0.2,1.4,16.0,6.0,6
2,C554,2.8,3.2,27.5,30.0,5
2,C147,2.5,2.0,15.0,17.5,3
2,C380,2.2,1.2,28.0,18.5,3
2,C406,3.7,4.0,9.0,37.5,7
2,C211,2.3,2.4,10.0,32.5,7
2,C564,2.0,3.4,22.5,15.0,4
2,C600,2.0,0.6,15.5,33.5,4
2,C114,3.6,2.0,11.0,42.5,6
2,C484,0.0,3.6,28.5,14.5,7
2,C095,2.4,6.0,31.0,40.0,3
2,C535,1.1,4.0,33.5,42.5,4
2,C334,4.4,2.8,32.5,27.5,4
2,C545,2.4,2.0,10.0,41.0,7
2,C119,2.4,2.0,7.5,40.0,6
2,C432,2.7,2.0,43.5,15.0,7
2,C005,1.8,2.0,21.0,32.5,5
2,C446,2.1,2.0,9.0,40.0,0
2,C581,2.6,2.0,24.5,29.0,4
2,C435,2.6,4.0,33.5,42.5,0
2,C265,2.8,4.0,31.0,38.5,3
2,C363,1.6,2.0,13.5,34.5,4
2,C336,1.9,1.0,1.0,30.0,6
2,C238,0.0,3.2,2.5,2.5,4
2,C255,2.9,0.4,31.5,11.5,4
2,C115,2.0,8.0,10.0,40.0,7
2,C267,3.8,5.0,33.5,2.5,4
2,C226,2.2,3.4,22.5,15.0,4
2,C096,1.4,2.0,30.0,40.0,6
2,C528,1.1,2.0,46.0,15.0,5
2,C015,1.5,8.0,10.0,40.0,3
2,C489,4.1,5.0,33.5,2.5,4
2,C571,1.5,2.8,32.5,27.5,3
2,C294,1.2,5.4,13.0,13.5,5
2,C418,2.0,4.0,22.0,2.5,0
2,C221,2.3,2.2,22.5,10.0,6
2,C235,1.1,1.6,31.5,32.5,4
3,C162,2.6,4.0,25.0,17.5,4
3,C544,3.7,2.0,27.5,41.0,7
3,C436,2.0,8.0,32.5,42.5,7
3,C190,2.8,2.0,30.0,27.5,5
3,C081,4.1,6.0,42.5,17.5,5
3,C117,2.1,4.0,9.0,37.5,4
3,C516,3.9,4.0,0.0,20.0,7
3,C433,3.0,2.0,42.5,12.5,7
3,C443,1.8,4.0,27.5,42.5,5
3,C175,2.3,4.0,22.5,32.5,6
3,C568,1.5,4.2,20.0,30.0,7
3,C017,2.4,4.0,9.0,37.5,5
3,C475,1.2,3.2,2.5,2.5,7
3,C456,1.7,3.8,25.0,17.5,7
3,C390,2.3,0.6,15.5,33.5,7
3,C501,3.0,4.0,12.5,42.5,5
3,C578,4.5,5.4,4.0,28.0,5
3,C542,0.8,2.0,27.5,40.0,5
3,C470,2.7,4.6,17.5,34.5,6
3,C548,1.4,2.0,21.0,2.5,4
3,C525,3.4,4.0,17.5,2.5,0
3,C104,2.1,2.0,30.0,33.0,5
3,C076,2.4,2.0,45.0,17.5,7
3,C188,2.6,6.0,32.5,30.0,5
3,C560,3.2,3.4,7.5,30.0,6
3,C536,5.1,8.0,32.5,42.5,6
3,C266,1.6,5.0,24.5,36.5,6
3,C441,3.6,4.0,29.0,37.5,5
3,C539,1.9,2.0,30.0,40.0,7
3,C293,0.0,4.4,9.0,12.0,6
3,C185,1.7,6.0,43.0,23.0,5
3,C085,1.8,6.0,34.0,30.0,5
3,C146,0.9,6.0,17.0,12.5,7
3,C200,2.0,4.0,27.5,42.5,5
3,C453,1.0,1.0,10.0,25.0,0
3,C018,2.1,4.0,7.5,37.5,4
3,C109,3.1,2.0,14.0,35.0,5
3,C445,2.1,2.0,10.0,41.0,5
3,C247,0.8,5.4,4.0,28.0,5
3,C430,2.1,2.0,44.0,15.0,7
3,C349,1.7,6.0,3.0,34.0,6
3,C503,2.2,2.0,11.0,42.5,6
3,C105,1.9,2.0,21.0,32.5,6
3,C401,2.5,4.0,12.5,42.5,5
3,C451,3.0,3.8,27.5,10.0,6
3,C531,3.6,4.0,44.0,17.5,5
3,C227,1.5,3.2,17.5,20.0,7
3,C513,2.3,2.0,2.5,17.5,4
3,C116,4.2,8.0,10.0,42.5,7
3,C575,1.4,3.2,2.5,2.5,0
3,C505,2.3,4.0,10.0,42.5,7
3,C533,3.4,2.0,42.5,12.5,6
3,C311,2.7,2.4,10.0,32.5,4
3,C171,2.9,4.0,47.5,17.5,7
3,C577,1.2,1.4,11.5,1.5,4
3,C553,2.3,1.0,10.0,25.0,5
3,C422,0.9,8.0,20.0,7.5,4
3,C465,3.1,3.2,17.5,20.0,4
3,C462,2.8,0.6,32.5,17.5,4
3,C019,0.2,2.0,7.5,40.0,7
3,C526,4.0,6.0,47.5,15.0,7
3,C364,1.9,1.8,7.5,38.5,7
3,C100,2.4,4.0,27.5,42.5,7
3,C355,3.7,0.4,31.5,11.5,6
3,C084,1.3,4.0,35.0,29.0,4
3,C439,2.9,2.0,30.0,40.0,6
3,C035,2.1,2.0,2.5,17.5,6
3,C180,1.6,2.0,42.5,12.5,6
3,C589,1.0,5.0,33.5,2.5,5
3,C123,3.4,2.0,7.0,33.0,5
3,C006,2.5,4.0,20.0,34.5,5
3,C273,0.8,1.8,22.0,8.5,4
3,C519,0.7,8.0,21.0,5.0,4
3,C194,1.9,2.0,32.5,41.0,6
3,C464,0.0,3.4,22.5,15.0,4
3,C570,4.4,4.6,17.5,34.5,6
3,C438,2.1,6.0,31.0,40.0,6
3,C343,4.3,1.4,11.5,1.5,4
3,C540,4.5,6.0,30.0,42.5,6
3,C344,4.9,3.6,5.5,7.0,6
3,C407,1.6,4.0,7.5,37.5,6
3,C587,2.0,2.6,6.0,12.0,6
3,C253,1.6,2.8,18.5,15.5,4
3,C168,2.6,2.0,21.0,15.0,4
3,C324,3.9,0.6,32.5,17.5,5
3,C055,1.7,2.0,21.0,7.5,6
3,C473,2.9,1.0,1.0,30.0,6
3,C561,0.4,1.8,22.5,32.5,6
3,C080,3.1,2.0,42.5,12.5,5
3,C102,2.1,6.0,22.5,35.0,6
3,C181,1.3,6.0,42.5,17.5,5
3,C527,2.7,4.0,47.5,17.5,6
3,C367,2.8,5.0,33.5,2.5,0
3,C103,2.7,2.0,31.0,34.5,4
3,C198,3.7,4.0,29.0,37.5,5
3,C329,2.1,1.8,32.0,21.0,4
3,C414,2.2,2.0,2.5,22.5,7
3,C572,3.3,1.6,31.5,32.5,4
3,C090,2.7,2.0,30.0,27.5,4
3,C223,1.0,5.8,27.5,2.5,4
3,C163,3.3,10.0,25.0,20.0,4
3,C506,4.3,4.0,9.0,37.5,5
3,C086,1.5,2.0,33.0,27.5,6
3,C508,2.2,2.0,7.5,40.0,7
3,C518,2.7,4.0,22.0,2.5,0
3,C012,2.0,4.0,12.5,42.5,7
3,C534,2.5,6.0,42.5,17.5,5
3,C497,2.3,7.0,2.0,9.0,6
3,C550,2.4,6.0,36.0,17.5,7
3,C319,1.5,3.4,7.5,30.0,6
3,C406,3.7,4.0,9.0,37.5,7
3,C211,2.3,2.4,10.0,32.5,7
3,C564,2.0,3.4,22.5,15.0,4
3,C114,3.6,2.0,11.0,42.5,6
3,C535,1.1,4.0,33.5,42.5,4
3,C334,4.4,2.8,32.5,27.5,4
3,C444,3.3,2.0,27.5,41.0,7
3,C545,2.4,2.0,10.0,41.0,7
3,C098,3.0,4.0,29.0,37.5,5
3,C290,1.0,0.6,15.5,33.5,6
3,C291,2.6,0.2,7.5,9.5,4
3,C077,2.7,2.0,44.0,15.0,5
3,C005,1.8,2.0,21.0,32.5,5
3,C446,2.1,2.0,9.0,40.0,0
3,C581,2.6,2.0,24.5,29.0,4
3,C435,2.6,4.0,33.5,42.5,0
3,C336,1.9,1.0,1.0,30.0,6
3,C238,0.0,3.2,2.5,2.5,4
3,C079,1.3,2.0,43.5,15.0,6
3,C115,2.0,8.0,10.0,40.0,7
3,C010,2.0,2.0,17.5,33.0,5
3,C267,3.8,5.0,33.5,2.5,4
3,C278,4.0,0.6,30.5,26.0,7
3,C251,2.3,2.0,24.5,29.0,4
3,C129,2.6,2.0,10.0,25.0,6
3,C374,2.7,1.6,23.0,6.5,5
3,C366,1.4,5.0,24.5,36.5,6
3,C186,3.0,2.0,33.0,27.5,6
3,C220,3.4,1.8,22.5,32.5,4
4,C544,3.7,2.0,27.5,41.0,7
4,C436,2.0,8.0,32.5,42.5,7
4,C173,4.4,2.0,46.0,15.0,5
4,C021,3.6,4.0,15.0,26.0,7
4,C427,0.7,4.0,47.5,17.5,7
4,C081,4.1,6.0,42.5,17.5,5
4,C592,2.8,2.8,26.5,21.5,7
4,C434,2.3,6.0,42.5,17.5,5
4,C443,1.8,4.0,27.5,42.5,5
4,C175,2.3,4.0,22.5,32.5,6
4,C475,1.2,3.2,2.5,2.5,7
4,C390,2.3,0.6,15.5,33.5,7
4,C501,3.0,4.0,12.5,42.5,5
4,C578,4.5,5.4,4.0,28.0,5
4,C542,0.8,2.0,27.5,40.0,5
4,C271,2.2,3.0,28.5,34.0,5
4,C502,0.4,6.0,11.0,37.5,0
4,C076,2.4,2.0,45.0,17.5,7
4,C299,1.6,1.8,10.0,13.0,6
4,C338,2.1,3.2,2.5,2.5,6
4,C539,1.9,2.0,30.0,40.0,7
4,C185,1.7,6.0,43.0,23.0,5
4,C200,2.0,4.0,27.5,42.5,5
4,C453,1.0,1.0,10.0,25.0,0
4,C109,3.1,2.0,14.0,35.0,5
4,C192,0.5,4.0,33.5,42.5,6
4,C247,0.8,5.4,4.0,28.0,5
4,C430,2.1,2.0,44.0,15.0,7
4,C417,0.7,4.0,0.0,22.5,5
4,C352,2.2,1.8,13.5,21.5,0
4,C541,0.9,4.0,29.0,37.5,7
4,C503,2.2,2.0,11.0,42.5,6
4,C105,1.9,2.0,21.0,32.5,6
4,C451,3.0,3.8,27.5,10.0,6
4,C531,3.6,4.0,44.0,17.5,5
4,C143,2.3,2.0,16.5,17.5,6
