location_id,location_name,x_km,y_km,demand_kg,service_time
C072,72,26.5,15.0,4.5,2.0
C073,73,46.0,15.0,3.7,2.0
C074,74,26.5,17.5,1.8,10.0
C075,75,22.5,32.5,2.4,4.0
C076,76,45.0,17.5,2.4,2.0
C077,77,44.0,15.0,2.7,2.0
C078,78,44.0,17.5,1.5,4.0
C079,79,43.5,15.0,1.3,2.0
C080,80,42.5,12.5,3.1,2.0
C081,81,42.5,17.5,4.1,6.0
C082,82,37.5,27.5,2.5,4.0
C083,83,36.0,27.5,2.8,2.0
C084,84,35.0,29.0,1.3,4.0
C085,85,34.0,30.0,1.8,6.0
C086,86,33.0,27.5,1.5,2.0
C087,87,32.5,27.5,1.6,4.0
C088,88,32.5,30.0,2.6,6.0
C089,89,31.5,29.0,3.0,2.0
C090,90,30.0,27.5,2.7,2.0
C091,91,30.0,30.0,4.3,2.0
C092,92,33.5,42.5,3.4,4.0
C093,93,32.5,42.5,0.8,8.0
C094,94,32.5,41.0,3.0,2.0
C095,95,31.0,40.0,2.4,6.0
C096,96,30.0,40.0,1.4,2.0
C097,97,30.0,42.5,1.6,6.0
C098,98,29.0,37.5,3.0,4.0
C099,99,27.5,40.0,1.6,2.0
C100,100,27.5,42.5,2.4,4.0
C101,1,26.0,37.5,3.0,2.0
C102,2,22.5,35.0,2.1,6.0
C103,3,31.0,34.5,2.7,2.0
C104,4,30.0,33.0,2.1,2.0
C105,5,21.0,32.5,1.9,2.0
C106,6,8.0,21.0,1.4,4.0
C107,7,29.0,35.0,2.1,4.0
C108,8,17.0,30.0,1.3,4.0
C109,9,14.0,35.0,3.1,2.0
C110,10,17.5,33.0,2.3,2.0
C111,11,17.5,34.5,2.9,2.0
C112,12,12.5,42.5,2.6,4.0
C113,13,11.0,37.5,2.4,6.0
C114,14,11.0,42.5,3.6,2.0
C115,15,10.0,40.0,2.0,8.0
C116,16,10.0,42.5,4.2,8.0
C117,17,9.0,37.5,2.1,4.0
C118,18,7.5,37.5,3.1,4.0
C119,19,7.5,40.0,2.4,2.0
C120,20,15.0,25.0,2.3,2.0
C121,21,15.0,28.0,1.6,4.0
C122,22,14.0,26.0,2.5,4.0
C123,23,7.0,33.0,3.4,2.0
C124,24,12.5,25.0,3.8,2.0
C125,25,11.0,33.0,1.0,8.0
C126,26,4.0,31.0,3.2,2.0
C127,27,11.5,26.0,2.7,2.0
C128,28,2.0,27.5,1.0,4.0
C129,29,10.0,25.0,2.6,2.0
C130,30,10.0,27.5,2.3,2.0
C131,31,5.0,17.5,0.9,4.0
C132,32,5.0,20.0,3.2,6.0
C133,33,4.0,20.0,2.6,8.0
C134,34,4.0,22.5,1.3,4.0
C135,35,2.5,17.5,2.7,2.0
C136,36,2.5,22.5,3.5,2.0
C137,37,1.0,20.0,2.6,4.0
C138,38,0.0,20.0,1.5,6.0
C139,39,0.0,22.5,2.9,4.0
C140,40,18.0,9.0,2.6,2.0
C141,41,17.5,16.0,3.2,2.0
C142,42,16.5,16.0,1.7,4.0
C143,43,16.5,17.5,2.3,2.0
C144,44,16.0,10.0,0.5,2.0
C145,45,15.0,15.0,2.7,2.0
C146,46,17.0,12.5,0.9,6.0
C147,47,15.0,17.5,2.5,2.0
C148,48,18.0,20.0,1.9,2.0
C149,49,24.0,10.0,4.0,2.0
C150,50,13.0,16.0,2.6,2.0
C151,51,12.5,15.0,1.8,2.0
C152,52,12.5,17.5,3.9,2.0
C153,53,22.0,2.5,0.9,4.0
C154,54,21.0,5.0,1.3,8.0
C155,55,21.0,7.5,3.5,2.0
C156,56,20.0,2.5,2.1,6.0
C157,57,19.0,7.5,4.0,8.0
C158,58,19.0,2.5,1.7,6.0
C159,59,19.0,5.0,2.7,2.0
C160,60,17.5,2.5,2.7,4.0
C161,61,25.0,15.0,1.8,2.0
C162,62,25.0,17.5,2.6,4.0
C163,63,25.0,20.0,3.3,10.0
C164,64,24.0,15.0,2.9,2.0
C165,65,22.0,12.5,2.4,2.0
C166,66,23.5,17.5,3.8,2.0
C167,67,23.5,20.0,1.9,2.0
C168,68,21.0,15.0,2.6,2.0
C169,69,22.5,17.5,1.7,2.0
C170,70,47.5,15.0,2.8,6.0
C171,71,47.5,17.5,2.9,4.0
C172,72,26.5,15.0,1.8,2.0
C173,73,46.0,15.0,4.4,2.0
C174,74,26.5,17.5,1.2,10.0
C175,75,22.5,32.5,2.3,4.0
C176,76,45.0,17.5,3.6,2.0
C177,77,36.0,22.5,2.3,2.0
C178,78,39.0,20.0,4.0,4.0
C179,79,43.5,15.0,3.3,2.0
C180,80,42.5,12.5,1.6,2.0
C181,81,42.5,17.5,1.3,6.0
C182,82,37.5,27.5,2.3,4.0
C183,83,36.0,27.5,2.1,2.0
C184,84,35.0,29.0,1.6,4.0
C185,85,43.0,23.0,1.7,6.0
C186,86,33.0,27.5,3.0,2.0
C187,87,32.0,23.0,3.8,4.0
C188,88,32.5,30.0,2.6,6.0
C189,89,28.0,32.0,2.0,2.0
C190,90,30.0,27.5,2.8,2.0
C191,91,30.0,30.0,2.1,2.0
C192,92,33.5,42.5,0.5,4.0
C193,93,21.0,29.0,4.3,8.0
C194,94,32.5,41.0,1.9,2.0
C195,95,31.0,40.0,1.7,6.0
C196,96,31.0,20.0,2.8,2.0
C197,97,30.0,42.5,0.9,6.0
C198,98,29.0,37.5,3.7,4.0
C199,99,27.5,40.0,2.0,2.0
C200,100,27.5,42.5,2.0,4.0
C201,1,20.5,24.5,2.1,2.0
C202,2,17.5,8.5,2.2,1.4
C203,3,27.5,22.5,2.5,2.6
C204,4,27.5,10.0,0.1,3.8
C205,5,7.5,15.0,4.7,5.2
C206,6,12.5,15.0,2.2,0.6
C207,7,10.0,25.0,2.2,1.0
C208,8,5.0,21.5,2.6,1.8
C209,9,27.5,30.0,3.6,3.2
C210,10,15.0,30.0,3.7,3.2
C211,11,10.0,32.5,2.3,2.4
C212,12,25.0,17.5,2.7,3.8
C213,13,15.0,12.5,4.2,4.6
C214,14,7.5,5.0,1.4,4.0
C215,15,15.0,2.5,1.6,1.6
C216,16,5.0,10.0,4.9,3.8
C217,17,2.5,15.0,3.9,0.4
C218,18,10.0,20.0,3.0,2.4
C219,19,7.5,30.0,1.3,3.4
C220,20,22.5,32.5,3.4,1.8
C221,21,22.5,10.0,2.3,2.2
C222,22,22.5,5.0,3.0,3.6
C223,23,27.5,2.5,1.0,5.8
C224,24,32.5,17.5,1.6,0.6
C225,25,32.5,10.0,2.2,1.2
C226,26,22.5,15.0,2.2,3.4
C227,27,17.5,20.0,1.5,3.2
C228,28,20.5,18.5,4.2,3.2
C229,29,32.0,21.0,1.7,1.8
C230,30,20.0,30.0,1.2,4.2
C231,31,15.5,26.0,2.7,5.4
C232,32,17.5,34.5,3.3,4.6
C233,33,26.5,26.0,3.0,2.2
C234,34,32.5,27.5,1.3,2.8
C235,35,31.5,32.5,1.1,1.6
C236,36,1.0,30.0,2.0,1.0
C237,37,10.0,10.0,1.1,1.6
C238,38,2.5,2.5,0.0,3.2
C239,39,30.0,6.0,1.6,6.2
C240,40,20.0,12.5,3.5,1.8
C241,41,21.0,3.5,2.3,1.0
C242,42,12.0,6.0,3.3,1.0
C243,43,11.5,1.5,2.4,1.4
C244,44,5.5,7.0,3.0,3.6
C245,45,3.0,19.0,2.5,3.2
C246,46,1.0,24.0,2.0,0.2
C247,47,4.0,28.0,0.8,5.4
C248,48,6.5,26.0,2.1,7.2
C249,49,3.0,34.0,1.8,6.0
C250,50,23.5,23.5,2.8,2.6
C251,51,24.5,29.0,2.3,2.0
C252,52,13.5,21.5,1.3,1.8
C253,53,18.5,15.5,1.6,2.8
C254,54,28.5,14.5,3.5,3.6
C255,55,31.5,11.5,2.9,0.4
C256,56,26.5,6.0,1.6,1.2
C257,57,16.0,6.0,0.9,1.4
C258,58,18.0,13.0,1.3,3.6
C259,59,10.5,12.0,3.5,5.6
C260,60,8.5,17.0,1.5,0.6
C261,61,6.0,12.0,2.4,2.6
C262,62,12.0,29.0,2.7,3.8
C263,63,13.5,34.5,4.7,2.0
C264,64,7.5,38.5,1.1,1.8
C265,65,31.0,38.5,2.8,4.0
C266,66,24.5,36.5,1.6,5.0
C267,67,33.5,2.5,3.8,5.0
C268,68,28.0,19.5,3.1,7.2
C269,69,18.5,23.5,2.1,1.2
C270,70,18.5,28.0,1.4,1.0
C271,71,28.5,34.0,2.2,3.0
C272,72,23.5,8.0,2.8,5.0
C273,73,22.0,8.5,0.8,1.8
C274,74,23.0,6.5,0.4,1.6
C275,75,24.5,5.5,1.7,3.6
C276,76,24.5,21.0,2.6,2.6
C277,77,26.5,21.5,2.5,2.8
C278,78,30.5,26.0,4.0,0.6
C279,79,28.5,24.0,1.2,4.6
C280,80,28.0,18.5,4.4,1.2
C281,81,27.5,27.0,2.5,5.2
C282,82,7.5,23.5,0.4,3.2
C283,83,7.0,18.5,2.3,2.2
C284,84,5.5,15.5,4.4,1.4
C285,85,8.0,11.0,2.3,8.2
C286,86,2.0,9.0,2.1,7.0
C287,87,14.0,9.0,3.2,5.2
C288,88,13.0,26.0,2.1,1.8
C289,89,13.0,17.5,3.3,3.0
C290,90,15.5,33.5,1.0,0.6
C291,91,7.5,9.5,2.6,0.2
C292,92,11.0,11.0,3.7,0.4
C293,93,9.0,12.0,0.0,4.4
C294,94,13.0,13.5,1.2,5.4
C295,95,12.5,12.0,2.7,4.0
C296,96,11.0,13.5,2.1,2.2
C297,97,12.5,10.5,2.5,2.4
C298,98,9.5,10.5,0.8,2.0
C299,99,10.0,13.0,1.6,1.8
C300,100,9.0,9.0,3.5,3.4
C301,1,20.5,24.5,3.7,2.0
C302,2,17.5,8.5,5.3,1.4
C303,3,27.5,22.5,2.1,2.6
C304,4,27.5,10.0,2.0,3.8
C305,5,7.5,15.0,1.4,5.2
C306,6,12.5,15.0,2.7,0.6
C307,7,10.0,25.0,1.2,1.0
C308,8,5.0,21.5,1.6,1.8
C309,9,27.5,30.0,2.2,3.2
C310,10,15.0,30.0,1.3,3.2
C311,11,10.0,32.5,2.7,2.4
C312,12,25.0,17.5,2.6,3.8
C313,13,15.0,12.5,2.1,4.6
C314,14,7.5,5.0,2.0,4.0
C315,15,15.0,2.5,3.4,1.6
C316,16,5.0,10.0,4.3,3.8
C317,17,2.5,15.0,3.5,0.4
C318,18,10.0,20.0,2.9,2.4
C319,19,7.5,30.0,1.5,3.4
C320,20,22.5,32.5,0.9,1.8
C321,21,22.5,10.0,2.5,2.2
C322,22,22.5,5.0,0.7,3.6
C323,23,27.5,2.5,2.7,5.8
C324,24,32.5,17.5,3.9,0.6
C325,25,32.5,10.0,1.6,1.2
C326,26,22.5,15.0,0.7,3.4
C327,27,17.5,20.0,4.2,3.2
C328,28,20.5,18.5,3.4,3.2
C329,29,32.0,21.0,2.1,1.8
C330,30,20.0,30.0,1.6,4.2
C331,31,15.5,26.0,2.3,5.4
C332,32,17.5,34.5,2.1,4.6
C333,33,26.5,26.0,1.6,2.2
C334,34,32.5,27.5,4.4,2.8
C335,35,31.5,32.5,1.1,1.6
C336,36,1.0,30.0,1.9,1.0
C337,37,10.0,10.0,1.7,1.6
C338,38,2.5,2.5,2.1,3.2
C339,39,30.0,6.0,1.5,6.2
C340,40,20.0,12.5,2.8,1.8
C341,41,21.0,3.5,2.1,1.0
C342,42,12.0,6.0,4.2,1.0
C343,43,11.5,1.5,4.3,1.4
C344,44,5.5,7.0,4.9,3.6
C345,45,3.0,19.0,1.2,3.2
C346,46,1.0,24.0,2.6,0.2
C347,47,4.0,28.0,2.7,5.4
C348,48,6.5,26.0,2.9,7.2
C349,49,3.0,34.0,1.7,6.0
C350,50,23.5,23.5,3.9,2.6
C351,51,24.5,29.0,2.1,2.0
C352,52,13.5,21.5,2.2,1.8
C353,53,18.5,15.5,3.4,2.8
C354,54,28.5,14.5,2.9,3.6
C355,55,31.5,11.5,3.7,0.4
C356,56,26.5,6.0,3.2,1.2
C357,57,16.0,6.0,0.2,1.4
C358,58,18.0,13.0,2.6,3.6
C359,59,10.5,12.0,3.3,5.6
C360,60,8.5,17.0,2.2,0.6
C361,61,6.0,12.0,0.0,2.6
C362,62,12.0,29.0,2.6,3.8
C363,63,13.5,34.5,1.6,2.0
C364,64,7.5,38.5,1.9,1.8
C365,65,31.0,38.5,3.3,4.0
C366,66,24.5,36.5,1.4,5.0
C367,67,33.5,2.5,2.8,5.0
C368,68,28.0,19.5,2.3,7.2
C369,69,18.5,23.5,3.5,1.2
C370,70,18.5,28.0,3.8,1.0
C371,71,28.5,34.0,0.8,3.0
C372,72,23.5,8.0,0.0,5.0
C373,73,22.0,8.5,2.7,1.8
C374,74,23.0,6.5,2.7,1.6
C375,75,24.5,5.5,1.4,3.6
C376,76,24.5,21.0,3.6,2.6
C377,77,26.5,21.5,3.2,2.8
C378,78,30.5,26.0,1.8,0.6
C379,79,28.5,24.0,0.0,4.6
C380,80,28.0,18.5,2.2,1.2
C381,81,27.5,27.0,2.9,5.2
C382,82,7.5,23.5,2.4,3.2
C383,83,7.0,18.5,2.6,2.2
C384,84,5.5,15.5,2.4,1.4
C385,85,8.0,11.0,2.2,8.2
C386,86,2.0,9.0,4.2,7.0
C387,87,14.0,9.0,3.8,5.2
C388,88,13.0,26.0,3.0,1.8
C389,89,13.0,17.5,3.5,3.0
C390,90,15.5,33.5,2.3,0.6
C391,91,7.5,9.5,2.2,0.2
C392,92,11.0,11.0,2.0,0.4
C393,93,9.0,12.0,2.6,4.4
C394,94,13.0,13.5,1.6,5.4
C395,95,12.5,12.0,2.0,4.0
C396,96,11.0,13.5,2.4,2.2
C397,97,12.5,10.5,3.4,2.4
C398,98,9.5,10.5,1.9,2.0
C399,99,10.0,13.0,1.6,1.8
C400,100,9.0,9.0,3.3,3.4
C401,1,12.5,42.5,2.5,4.0
C402,2,11.0,37.5,3.0,6.0
C403,3,11.0,42.5,1.0,2.0
C404,4,10.0,40.0,2.8,8.0
C405,5,10.0,42.5,3.1,4.0
C406,6,9.0,37.5,3.7,4.0
C407,7,7.5,37.5,1.6,4.0
C408,8,7.5,40.0,2.4,2.0
C409,9,5.0,17.5,3.7,4.0
C410,10,5.0,20.0,1.3,6.0
C411,11,4.0,20.0,2.8,8.0
C412,12,4.0,22.5,3.9,4.0
C413,13,2.5,17.5,3.0,2.0
C414,14,2.5,22.5,2.2,2.0
C415,15,1.0,20.0,2.9,4.0
C416,16,0.0,20.0,4.2,4.0
C417,17,0.0,22.5,0.7,4.0
C418,18,22.0,2.5,2.0,4.0
C419,19,21.0,5.0,3.1,8.0
C420,20,21.0,7.5,0.8,2.0
C421,21,20.0,2.5,1.2,2.0
C422,22,20.0,7.5,0.9,8.0
C423,23,19.0,2.5,2.5,6.0
C424,24,19.0,7.5,2.9,2.0
C425,25,17.5,2.5,2.8,4.0
C426,26,47.5,15.0,2.3,6.0
C427,27,47.5,17.5,0.7,4.0
C428,28,46.0,15.0,1.6,2.0
C429,29,45.0,17.5,1.8,2.0
C430,30,44.0,15.0,2.1,2.0
C431,31,44.0,17.5,3.5,4.0
C432,32,43.5,15.0,2.7,2.0
C433,33,42.5,12.5,3.0,2.0
C434,34,42.5,17.5,2.3,6.0
C435,35,33.5,42.5,2.6,4.0
C436,36,32.5,42.5,2.0,8.0
C437,37,32.5,41.0,2.7,2.0
C438,38,31.0,40.0,2.1,6.0
C439,39,30.0,40.0,2.9,2.0
C440,40,30.0,42.5,2.9,6.0
C441,41,29.0,37.5,3.6,4.0
C442,42,27.5,40.0,5.0,2.0
C443,43,27.5,42.5,1.8,4.0
C444,44,27.5,41.0,3.3,2.0
C445,45,10.0,41.0,2.1,2.0
C446,46,9.0,40.0,2.1,2.0
C447,47,1.0,22.5,5.7,2.0
C448,48,21.0,2.5,3.8,2.0
C449,49,21.0,6.0,2.6,2.0
C450,50,36.0,17.5,5.7,6.0
C451,51,27.5,10.0,3.0,3.8
C452,52,12.5,15.0,1.3,0.6
C453,53,10.0,25.0,1.0,1.0
C454,54,27.5,30.0,2.4,3.2
C455,55,15.0,30.0,0.8,3.2
C456,56,25.0,17.5,1.7,3.8
C457,57,15.0,12.5,0.0,4.6
C458,58,7.5,5.0,2.4,4.0
C459,59,5.0,10.0,2.4,3.8
C460,60,7.5,30.0,0.7,3.4
C461,61,22.5,32.5,2.8,1.8
C462,62,32.5,17.5,2.8,0.6
C463,63,32.5,10.0,3.3,1.2
C464,64,22.5,15.0,0.0,3.4
C465,65,17.5,20.0,3.1,3.2
C466,66,20.5,18.5,1.1,3.2
C467,67,32.0,21.0,3.2,1.8
C468,68,20.0,30.0,3.3,4.2
C469,69,15.5,26.0,2.6,5.4
C470,70,17.5,34.5,2.7,4.6
C471,71,32.5,27.5,1.4,2.8
C472,72,31.5,32.5,4.1,1.6
C473,73,1.0,30.0,2.9,1.0
C474,74,10.0,10.0,0.8,1.6
C475,75,2.5,2.5,1.2,3.2
C476,76,30.0,6.0,0.2,6.2
C477,77,11.5,1.5,2.0,1.4
C478,78,4.0,28.0,3.2,5.4
C479,79,3.0,34.0,1.2,6.0
C480,80,23.5,23.5,2.1,2.6
C481,81,24.5,29.0,3.1,2.0
C482,82,13.5,21.5,3.9,1.8
C483,83,18.5,15.5,2.8,2.8
C484,84,28.5,14.5,0.0,3.6
C485,85,31.5,11.5,4.6,0.4
C486,86,10.5,12.0,1.8,5.6
C487,87,6.0,12.0,3.7,2.6
C488,88,12.0,29.0,4.3,3.8
C489,89,33.5,2.5,4.1,5.0
C490,90,18.5,23.5,3.3,1.2
C491,91,24.5,21.0,1.8,2.6
C492,92,26.5,21.5,2.2,2.8
C493,93,30.5,26.0,3.1,0.6
C494,94,28.5,24.0,1.5,4.6
C495,95,28.0,18.5,2.1,1.2
C496,96,27.5,27.0,1.5,5.2
C497,97,2.0,9.0,2.3,7.0
C498,98,13.0,26.0,2.9,1.8
C499,99,13.0,17.5,1.9,3.0
C500,100,15.5,33.5,2.6,0.6
C501,1,12.5,42.5,3.0,4.0
C502,2,11.0,37.5,0.4,6.0
C503,3,11.0,42.5,2.2,2.0
C504,4,10.0,40.0,1.7,8.0
C505,5,10.0,42.5,2.3,4.0
C506,6,9.0,37.5,4.3,4.0
C507,7,7.5,37.5,4.9,4.0
C508,8,7.5,40.0,2.2,2.0
C509,9,5.0,17.5,1.1,4.0
C510,10,5.0,20.0,2.6,6.0
C511,11,4.0,20.0,1.4,8.0
C512,12,4.0,22.5,1.4,4.0
C513,13,2.5,17.5,2.3,2.0
C514,14,2.5,22.5,1.4,2.0
C515,15,1.0,20.0,1.8,4.0
C516,16,0.0,20.0,3.9,4.0
C517,17,0.0,22.5,2.0,4.0
C518,18,22.0,2.5,2.7,4.0
C519,19,21.0,5.0,0.7,8.0
C520,20,21.0,7.5,3.2,2.0
C521,21,20.0,2.5,2.2,2.0
C522,22,20.0,7.5,3.1,8.0
C523,23,19.0,2.5,2.5,6.0
C524,24,19.0,7.5,2.7,2.0
C525,25,17.5,2.5,3.4,4.0
C526,26,47.5,15.0,4.0,6.0
C527,27,47.5,17.5,2.7,4.0
C528,28,46.0,15.0,1.1,2.0
C529,29,45.0,17.5,2.9,2.0
C530,30,44.0,15.0,4.1,2.0
C531,31,44.0,17.5,3.6,4.0
C532,32,43.5,15.0,1.1,2.0
C533,33,42.5,12.5,3.4,2.0
C534,34,42.5,17.5,2.5,6.0
C535,35,33.5,42.5,1.1,4.0
C536,36,32.5,42.5,5.1,8.0
C537,37,32.5,41.0,2.5,2.0
C538,38,31.0,40.0,2.1,6.0
C539,39,30.0,40.0,1.9,2.0
C540,40,30.0,42.5,4.5,6.0
C541,41,29.0,37.5,0.9,4.0
C542,42,27.5,40.0,0.8,2.0
C543,43,27.5,42.5,1.9,4.0
C544,44,27.5,41.0,3.7,2.0
C545,45,10.0,41.0,2.4,2.0
C546,46,9.0,40.0,2.9,2.0
C547,47,1.0,22.5,4.3,2.0
C548,48,21.0,2.5,1.4,2.0
C549,49,21.0,6.0,4.3,2.0
C550,50,36.0,17.5,2.4,6.0
C551,51,27.5,10.0,3.2,3.8
C552,52,12.5,15.0,3.0,0.6
C553,53,10.0,25.0,2.3,1.0
C554,54,27.5,30.0,2.8,3.2
C555,55,15.0,30.0,1.6,3.2
C556,56,25.0,17.5,2.8,3.8
C557,57,15.0,12.5,1.8,4.6
C558,58,7.5,5.0,1.7,4.0
C559,59,5.0,10.0,2.2,3.8
C560,60,7.5,30.0,3.2,3.4
C561,61,22.5,32.5,0.4,1.8
C562,62,32.5,17.5,4.0,0.6
C563,63,32.5,10.0,0.0,1.2
C564,64,22.5,15.0,2.0,3.4
C565,65,17.5,20.0,1.9,3.2
C566,66,20.5,18.5,2.5,3.2
C567,67,32.0,21.0,1.2,1.8
C568,68,20.0,30.0,1.5,4.2
C569,69,15.5,26.0,3.4,5.4
C570,70,17.5,34.5,4.4,4.6
C571,71,32.5,27.5,1.5,2.8
C572,72,31.5,32.5,3.3,1.6
C573,73,1.0,30.0,1.5,1.0
C574,74,10.0,10.0,3.2,1.6
C575,75,2.5,2.5,1.4,3.2
C576,76,30.0,6.0,3.8,6.2
C577,77,11.5,1.5,1.2,1.4
C578,78,4.0,28.0,4.5,5.4
C579,79,3.0,34.0,2.4,6.0
C580,80,23.5,23.5,5.6,2.6
C581,81,24.5,29.0,2.6,2.0
C582,82,13.5,21.5,0.3,1.8
C583,83,18.5,15.5,3.1,2.8
C584,84,28.5,14.5,4.5,3.6
C585,85,31.5,11.5,1.3,0.4
C586,86,10.5,12.0,3.9,5.6
C587,87,6.0,12.0,2.0,2.6
C588,88,12.0,29.0,2.1,3.8
C589,89,33.5,2.5,1.0,5.0
C590,90,18.5,23.5,1.2,1.2
C591,91,24.5,21.0,3.0,2.6
C592,92,26.5,21.5,2.8,2.8
C593,93,30.5,26.0,2.3,0.6
C594,94,28.5,24.0,1.3,4.6
C595,95,28.0,18.5,2.4,1.2
C596,96,27.5,27.0,1.7,5.2
C597,97,2.0,9.0,2.9,7.0
C598,98,13.0,26.0,4.4,1.8
C599,99,13.0,17.5,1.8,3.0
C600,100,15.5,33.5,2.0,0.6
